Unnamed: 0,_id,name
10413,10413,positive regulation of vascular smooth muscle cell differentiation
10465,10465,tertiary granule
10470,10470,protein-N-terminal asparagine amidohydrolase activity
10474,10474,ARIH2P1
10476,10476,trachea cartilage development
10482,10482,adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate
10495,10495,PARN
10500,10500,Granuloma annulare
10505,10505,PCDH10
10514,10514,ARHGAP26-AS1
10522,10522,Rad51C-XRCC3 complex
10594,10594,Blepharal pigmentation
10597,10597,cellular response to corticotropin-releasing hormone stimulus
10618,10618,Antinuclear antibody positive
10627,10627,nuclear body
10631,10631,GJA9-MYCBP
10672,10672,postganglionic parasympathetic fiber development
10673,10673,Argininosuccinate synthetase deficiency
10696,10696,SCARNA1
10706,10706,Nodal arrhythmia
10745,10745,negative regulation of glomerular filtration
10752,10752,membrane repolarization
10784,10784,intraciliary transport
10788,10788,C-MYC pathway
10799,10799,PTAR1
10807,10807,BRCA1-A complex
10810,10810,Ovarian pain
10842,10842,regulation of ARF protein signal transduction
10868,10868,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
10874,10874,Variegate porphyria
10888,10888,nuclear envelope organization
10927,10927,extracellular matrix binding
11001,11001,"ligase activity, forming carbon-carbon bonds"
11002,11002,positive regulation of very-low-density lipoprotein particle remodeling
11003,11003,[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity
11015,11015,aromatic amino acid family biosynthetic process
11016,11016,modulation by virus of host molecular function
11056,11056,Laryngeal neoplasm
11067,11067,regulation of protein targeting to membrane
11068,11068,protein linear polyubiquitination
11069,11069,regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
11106,11106,response to hypobaric hypoxia
11109,11109,cellular response to xenobiotic stimulus
11126,11126,ZNF124
11157,11157,response to anisomycin
11197,11197,negative regulation of establishment of endothelial barrier
11202,11202,The activation of arylsulfatases
11204,11204,vascular endothelial growth factor receptor 3 binding
11244,11244,cerebellar Purkinje cell layer development
11255,11255,Antepartum hemorrhage
11264,11264,vasculogenesis involved in coronary vascular morphogenesis
11276,11276,glandular epithelial cell differentiation
11340,11340,cellular response to ether
11376,11376,GABARAPL2
11418,11418,Overview of nanoparticle effects
11436,11436,ARNILA
11450,11450,SNAR-A11
